Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,21446.7,19832.1,18535.9,28728.9,27144.5,27563.1
40,21455.3,19847.6,18529,28682.9,27108.3,27548.3
60,21473,19830.1,18520,28688,27118.8,27517.9
80,21444.6,19816.2,18543.4,28649.5,27126.7,27546.9
100,21445,19820.3,18532.8,28666.6,27090.5,27576.4
120,21463.7,19821.8,18529.3,28702.1,27084.6,27564
140,21469.6,19829.9,18523.1,28707.6,27085.4,27543.2
160,21452.7,19808.3,18533,28661.1,27088.9,27550.4
180,21452.7,19816.1,18522.9,28672.8,27075.6,27509.6
200,21436.5,19804,18519.7,28654.4,27051,27529.8
220,21456.8,19804.2,18520.1,28704,27051,27529.8
240,21454.3,19799,18530.6,28679.9,27050.2,27527.7
260,21437.9,19806.5,18523.7,28674.4,27073.8,27543.6
280,21425.5,19805.6,18516,28684.6,27034.8,27528.6
300,21441,19795.5,18516.2,28670.8,27063.2,27541.8
320,21426.4,19799,18514.8,28651.8,27046.3,27518.4
340,21435.6,19782.9,18515.9,28655.8,27042.5,27549
360,21430.4,19782.8,18515.5,28642.4,27060.6,27494.3
380,21420.7,19779.9,18510.7,28640.9,27033.8,27525.6
400,21416.3,19776.5,18504.8,28638.7,27056.6,27516.7
420,21434,19770,18508.5,28663.1,27026.2,27517.1
440,21423.9,19785.2,18505.6,28655.2,27008.7,27506.1
460,21438.4,19793.8,18504.5,28651.8,27006.9,27506
480,21423.4,19796.1,18504.1,28626.1,27006.8,27492.8
500,21418.1,19785.7,18511.9,28664.7,27021.3,27485.9
520,21425.3,19773.2,18525.6,28615,26999,27494.1
540,21420.8,19779.1,18522.5,28639.7,27038.9,27484.7
560,21431.9,19783.8,18515.3,28646,27005,27476.3
580,21448.3,19765.6,18513.6,28640.9,27047.8,27482.8
600,21422.8,19757.8,18504.5,28622.4,27048.6,27499.3
620,21417,19766.1,18525.1,28645.6,27022.4,27442.4
640,21424.4,19777.8,18507.5,28645.2,27018.2,27450.1
660,21430.3,19766.8,18497.9,28624.4,27019.9,27465.2
680,21422.2,19788.2,18489,28647.2,27025.2,27467.9
700,21418.4,19774.4,18496.8,28655,27009.2,27462.7
720,21440.3,19783.2,18490.2,28629.7,27026.3,27480.9
740,21424.7,19769.1,18485.6,28634.8,27021.9,27469.7
760,21412,19766.3,18496.3,28606.7,27011.7,27451.1
780,21418.2,19759.2,18498.3,28572.8,27043.2,27469.9
800,21401.1,19764.6,18493.9,28615.1,27021,27467.7
820,21402.3,19756.5,18508.9,28609.7,27004.7,27451
840,21386.7,19759.8,18500.4,28627.4,27020.7,27471.6
860,21411.3,19755.5,18496.6,28607.6,27015.1,27504.4
880,21417,19784.4,18478.4,28621.2,26995.9,27483.1
900,21375.5,19744.2,18478.4,28593.3,27013.9,27472.1
920,21403.9,19773.1,18482.9,28587.4,27000.7,27471.1
940,21378,19770.5,18487.8,28603.5,26999.9,27442.5
960,21393.5,19746.6,18492.8,28580.1,27011,27433.8
980,21390.5,19752.2,18481.2,28577.9,27001.1,27458
1000,21401.4,19770,18459.2,28587.2,26963.7,27450.2
1020,21436.6,19754.6,18470.4,28581.9,26987.3,27446.6
1040,21399.4,19761.4,18468.2,28607.6,27006.1,27450.4
1060,21396.7,19746.5,18463.8,28590.5,26988,27466.2
1080,21393.5,19761.6,18454.4,28600.4,26996.6,27465.2
1100,21396.3,19744.2,18466.2,28588.3,27005.3,27447.7
1120,21390.1,19732.2,18478.4,28605.1,26972.5,27449.4
1140,21377.8,19736.6,18474.9,28563.8,26993.1,27450.8
1160,21380,19746.7,18468.1,28576.8,26990.6,27473.6
1180,21393.3,19718.9,18447,28543.2,26971.3,27440.7
1200,21371.4,19754.8,18452.6,28576.6,26959.2,27427.8
1220,21521.6,19889.9,18613,28874.7,27326.2,27853.5
1240,21837.1,20194.6,18883.1,29324.2,27792.2,28280.2
1260,22000.2,20389.2,19047.6,29498.9,28007.3,28507.4
1280,22125.5,20485.9,19164.8,29582.4,28136,28604.8
1300,22202.1,20555.5,19252.9,29673.3,28186.3,28662.9
1320,22250.1,20626.4,19321.8,29728.2,28242.7,28768.6
1340,22336.7,20687.2,19362.9,29775.2,28302.2,28854
1360,22368.7,20724.1,19415.5,29805,28338.3,28875.1
1380,22407.2,20757.8,19440.1,29808.9,28349.9,28908.2
1400,22479.9,20793.3,19477.1,29853.7,28407.5,28914.5
1420,22515.2,20797,19531.1,29878.2,28382.8,28913.4
1440,22523.1,20832.7,19549.8,29846,28402,28953
1460,22538.6,20866.9,19569.7,29924.8,28430.3,28969.2
1480,22558.8,20868.3,19598,29924.5,28436.5,28994.6
1500,22613.7,20907.9,19592.6,29954.8,28460.3,29019.7
1520,22609.8,20922.8,19627.6,29990.2,28497,29032.7
1540,22636.1,20942.8,19640.9,30002,28489.6,29046.7
1560,22674,20961.7,19667,30011.7,28478,29057.7
1580,22680.8,20982,19691.8,29983.9,28523,29082.3
1600,22699.7,20997.3,19702.5,30025,28513.9,29061.6
1620,22730.3,21016.4,19709.4,30055.9,28506.8,29097
1640,22758.6,21052.8,19724.7,30039,28578.2,29100.1
1660,22742.7,21029.6,19728,29986.9,28573,29109.4
1680,22756.2,21028,19748.7,30030.5,28618.8,29180.4
1700,22765.6,21029.9,19749.3,30016,28576.6,29168.5
1720,22795.5,21047.9,19748.8,30050,28610.3,29115.7
1740,22761.7,21086.9,19772.4,30059.1,28588.8,29166
1760,22811.6,21071.4,19759.9,30085.7,28601.1,29155.5
1780,22807.5,21084.3,19784.9,30063,28645.8,29200.9
1800,22813.9,21104.2,19788.5,30100.7,28658.8,29215
1820,22840.3,21121,19793.7,30100.5,28660.7,29201.8
1840,22852.8,21143.3,19807.6,30088.9,28665.5,29217.7
1860,22847.2,21134.8,19831.1,30094.5,28664,29216.9
1880,22871.8,21133.7,19836.9,30147.9,28677,29240.3
1900,22864.7,21158.1,19832.5,30155.7,28681.1,29218.6
1920,22860.7,21145.8,19846.2,30140.5,28734.4,29290.2
1940,22866.5,21171.8,19848.2,30114.9,28744.7,29271.2
1960,22895.8,21176.7,19885.8,30133.4,28719.9,29263.4
1980,22918.2,21184.6,19897.2,30133,28688.8,29284
2000,22909.6,21189.7,19903.5,30149.3,28691.6,29320.9
2020,22913.2,21211.6,19914.5,30173.5,28719.8,29336.9
2040,22914.5,21232.2,19914,30162.7,28761.1,29298.8
2060,22947,21235.5,19908.4,30168.3,28793.1,29333.7
2080,22936.5,21240.6,19928.4,30178.8,28788.3,29324.1
2100,22963.5,21241.9,19943.1,30169.1,28781.4,29323.4
2120,22934.5,21242.9,19936.8,30159.1,28786.3,29322.7
2140,22930.3,21239.7,19953.4,30167.6,28779,29308.1
2160,22959.2,21250.9,19958.1,30199.2,28803.6,29374.7
2180,22980.7,21246.3,19973.2,30205.5,28801.3,29376
2200,22985.6,21288.8,19973.4,30229.7,28808.2,29386.1
2220,23014.1,21288.1,19977.2,30245.9,28794.8,29345.8
2240,22994.8,21281.6,19968.3,30230.4,28825.1,29372
2260,23006.8,21313.3,19978,30251.7,28822.4,29410.4
2280,22992.6,21313.9,19983.8,30227.2,28850.8,29384.8
2300,23013.8,21318.9,19985.9,30248.7,28866.1,29371.2
2320,23033.4,21313.1,19995.3,30228,28839.2,29371.3
2340,23037.8,21308.7,20003.1,30267.4,28876.3,29401.9
2360,23035.2,21312.4,20001.1,30292.7,28844.8,29382
2380,23057.2,21320,19995.4,30307.5,28884,29415.7
2400,23070.7,21336.5,20030.2,30296.4,28887.4,29407.8
2420,22884.2,21152.5,19824.9,30036.4,28599.9,29042.1
2440,22529.5,20805.8,19479,29656.3,28146.9,28692.9
2460,22370.8,20662.2,19333.4,29478.7,27979.3,28497.5
2480,22271.2,20559.4,19224.5,29375.4,27879.3,28372.9
2500,22199.2,20472.6,19160.8,29296.2,27800.3,28287.6
2520,22162.4,20404.8,19116,29276.7,27779.9,28192.8
2540,22074.4,20365.6,19074.6,29261.2,27719.8,28144.1
2560,22020.1,20351.9,19038.7,29219,27701.2,28115.2
2580,22020.3,20303.9,19005.1,29163.4,27654.4,28068.3
2600,21989.4,20292.7,18969.2,29169.3,27625.3,28038
2620,21961.3,20252.2,18959.7,29148.7,27645.4,28042
2640,21956,20240.5,18946.6,29168.7,27597.5,28038.3
2660,21924.1,20219.5,18918.2,29141.2,27571.9,28009.2
2680,21902.6,20196,18910.9,29130.3,27568,27979.3
2700,21876.6,20210.6,18895.1,29133.3,27552.6,27946
2720,21870.1,20185.6,18873.9,29103.1,27547.8,27940.7
2740,21850.5,20170.7,18883.8,29113.9,27530.2,27920.1
2760,21846.9,20157.8,18867.3,29089.7,27504,27935
2780,21841.9,20132.4,18850.4,29119.3,27523.5,27940.8
2800,21810.8,20138.8,18832.2,29067.8,27483.9,27942.5
2820,21814.8,20116,18819.6,29072.7,27448,27922.2
2840,21789.1,20115.5,18811.6,29049.9,27461.7,27910.7
2860,21798.8,20112,18807.4,29054.8,27462.1,27886.4
2880,21785.9,20088.2,18808.7,29055.9,27473.6,27863.5
2900,21775.1,20104.1,18793.8,29036.4,27458.8,27889
2920,21768.3,20094.1,18792,29050.2,27433.5,27882.2
2940,21755.5,20076.9,18786.3,29008.2,27433.5,27882.2
2960,21753.5,20073.6,18777.1,29019.9,27450,27844.2
2980,21759.2,20057,18771.8,29010.1,27449.4,27830.2
3000,21749.1,20059.1,18746.7,29011.2,27417.9,27839.8
3020,21752,20060,18768.8,29032.9,27402.3,27829.3
3040,21723.8,20043.9,18752.3,28974.9,27399.1,27802.4
3060,21713,20037.3,18742.2,28945.2,27372.5,27763.2
3080,21730.3,20049.9,18747.9,28948.1,27375.5,27769.4
3100,21710.9,20055.3,18746.2,28950.2,27388.3,27781.2
3120,21702,20052,18718.6,28969.6,27365.6,27783.1
3140,21730,20039.7,18733,28939.2,27350.3,27789
3160,21709,20026.8,18729.5,28945.5,27357.7,27782.4
3180,21710.4,20041,18725.2,28932.6,27359,27778.6
3200,21692,20012.2,18727.4,28949.7,27331.1,27756.6
3220,21702.4,20018.8,18704.8,28944.6,27323.3,27770.2
3240,21678,20007,18706.5,28918.4,27324.4,27768.5
3260,21670,20011.3,18713.1,28988.3,27323.4,27746
3280,21675.1,20000.5,18702.3,28948.1,27335.3,27755.8
3300,21681,20006.8,18709.2,28957.7,27314.7,27740.6
3320,21678,20004,18688.8,28970.6,27319.4,27728.7
3340,21657.3,20002.2,18703,28972.2,27297.4,27717.5
3360,21659.4,20009.5,18683.7,28940.5,27306.8,27751.4
3380,21664.5,19989.5,18703.4,28945.5,27281.1,27756.7
3400,21670.8,19987.8,18692.4,28957.6,27291.6,27754
3420,21635.4,19983.2,18682,28891.2,27288.9,27715.1
