Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,16398,18770.3,15949.7,9536.3,8442.83,10956.2
40,16362.3,18761.5,15945.3,9536.69,8441.6,10963.7
60,16383.3,18767,15946.3,9521.96,8435.81,10953.7
80,16367.2,18759.2,15939.2,9532.85,8441.59,10959.7
100,16364.8,18747.5,15930.8,9533.83,8436.05,10951.8
120,16373.5,18768.2,15928.5,9532.2,8437.22,10954.3
140,16365.1,18777.2,15921.7,9528.38,8439.34,10956.2
160,16369.9,18753.8,15926.2,9530.59,8439.3,10950.3
180,16359.4,18734.9,15933,9530.82,8442.5,10949.8
200,16375.4,18743.5,15910,9538.16,8439.1,10951.7
220,16360.6,18745.3,15928.2,9528.76,8433.36,10952.8
240,16366.2,18737.8,15911.7,9523.74,8445.35,10955.2
260,16361.6,18721.5,15912.2,9522.39,8441.66,10955.5
280,16370.7,18734.1,15930.2,9524.88,8442.81,10948.4
300,16374.8,18716.3,15912.7,9519.05,8439.41,10960
320,16354.2,18729.9,15923.1,9524.94,8437,10945.2
340,16368.7,18727.6,15910.3,9526.35,8431.72,10944.3
360,16366,18722.4,15912.9,9519.55,8434.05,10947.7
380,16350,18725.2,15917,9519.55,8430.27,10948.6
400,16349.2,18709,15895.9,9525.81,8433.4,10948
420,16349.6,18706.1,15925.3,9520.77,8436.56,10953.3
440,16337.8,18726.6,15910.7,9519.83,8437.59,10955.2
460,16345.5,18706.5,15912.6,9523.89,8436.62,10949.3
480,16351.9,18721.4,15912.8,9523.52,8432.78,10953.3
500,16331.4,18699.3,15902.9,9520.07,8435.87,10953.6
520,16342.9,18698.1,15903.5,9523.4,8431.94,10950.1
540,16338.2,18682.9,15899.3,9513.81,8433.15,10949.1
560,16332.8,18693.2,15908.3,9516.19,8435.77,10949.1
580,16327.4,18681.1,15892.4,9514.41,8432.98,10948.4
600,16328.8,18689.2,15897.7,9512.6,8430.84,10951.5
620,16333.5,18685.6,15895.2,9520.25,8429.54,10950.2
640,16316.2,18670.2,15889.6,9514.43,8431.49,10948.5
660,16332.4,18660.1,15899.4,9511.95,8433.72,10951.9
680,16324.4,18685.6,15888.5,9519.33,8438,10941.4
