Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,13382.4,16097.5,15074.8,18250.2,17440.5,14511.7
40,13376.4,16099.1,15070.1,18226,17452.8,14482.9
60,13375.5,16116.5,15073.8,18254.4,17448.1,14483.5
80,13374.5,16106.2,15066.4,18242.5,17474.9,14486.3
100,13373.8,16107.7,15076.1,18258.7,17448.4,14481.9
120,13378.5,16117.1,15086.7,18232.3,17453.3,14476.5
140,13362.4,16107.3,15085.5,18226,17457.9,14475.6
160,13380.3,16108.5,15082,18225.8,17451,14474.9
180,13379.2,16111.4,15071.9,18234.1,17465.2,14479.8
200,13374.2,16126.2,15071.4,18238.6,17456.6,14464.6
220,13366.8,16120.8,15069.6,18241,17445.6,14466.1
240,13366.9,16115.8,15066.7,18222.3,17440.3,14471.5
260,13368.9,16117.3,15070.6,18226.4,17450.9,14469.3
280,13357.8,16115.4,15064.3,18236.2,17422,14475.3
300,13362.2,16100,15064.9,18213.4,17438.3,14461.1
320,13372.6,16096.4,15062.2,18227.9,17436,14460.4
340,13367.1,16103.2,15066.5,18227.1,17432.9,14470.9
360,13366.3,16110.9,15064.2,18251.5,17428,14462.9
380,13361.9,16103.7,15066.8,18230.7,17432.1,14463.8
400,13365.1,16105.9,15070.2,18221.6,17407.5,14457
420,13359.9,16105.3,15065.6,18228.8,17428.2,14467.5
440,13380.4,16097.6,15059.7,18212.1,17423.2,14451.3
460,13372,16092.6,15075.1,18214.4,17423.8,14468.5
480,13367.6,16085.7,15059,18225.1,17418.4,14451.3
500,13367.2,16118.2,15041.4,18217.6,17410.9,14454.3
520,13358.5,16084.4,15051.5,18223.3,17420.7,14454
540,13355.5,16089.9,15053.4,18209.8,17409.6,14447.5
560,13360.4,16094.7,15045.9,18219.6,17426.5,14446.8
580,13374.4,16086.3,15057,18234.3,17436.9,14449
600,13370,16103.1,15052.8,18222,17439.3,14469.1
620,13362.2,16095.8,15051.4,18217.3,17405.8,14456.7
640,13369.9,16102.5,15039.4,18226.8,17417.3,14457.2
660,13368.5,16098,15054.5,18213.5,17406.5,14443.7
680,13365.4,16087.3,15053.6,18217.6,17396.7,14460.1
700,13372.5,16107.6,15059.2,18212.6,17409.1,14442.5
720,13366.4,16094.5,15052.9,18204.9,17397.5,14440.9
740,13363.6,16081.9,15051,18222,17397.8,14444.6
760,13371.1,16093.5,15068.1,18213.7,17394.7,14439.2
780,13366.2,16088.9,15044.4,18216.9,17373.1,14453.5
800,13366.6,16090.7,15054.5,18208,17386.1,14435.6
820,13365.9,16083.2,15057.5,18215.4,17389.9,14444.6
840,13354.9,16090.4,15042.7,18202.7,17387.1,14446.7
860,13367.5,16087.4,15072.2,18215.8,17389,14434.8
880,13354.6,16085.8,15066.6,18208.3,17381.7,14430
900,13365.5,16076.2,15060.7,18194.3,17395.9,14438.2
920,13361.2,16082.8,15047.6,18195.3,17380.5,14450
940,13362.4,16082.7,15067,18191.9,17389.2,14425.3
960,13354.6,16098.3,15056.7,18198.7,17380.5,14428.5
980,13348.7,16081.4,15066.2,18192.9,17363.3,14428.1
1000,13356,16083.2,15066.1,18190.5,17383.1,14426.6
1020,13368.2,16092.5,15056.2,18192.8,17379.9,14431.9
1040,13358.2,16081.1,15051.8,18199.2,17357.4,14429.2
1060,13365,16094.4,15047.8,18185.9,17381.9,14428.2
1080,13358.6,16082.6,15058.5,18192.5,17362.6,14436.4
1100,13370,16095.4,15044.2,18192.1,17368.4,14423.9
1120,13359.3,16091.1,15046.3,18190.6,17370.6,14418.1
1140,13351.7,16088.3,15048.9,18182.7,17374.8,14422.4
1160,13356.8,16081.5,15047.8,18195.8,17360.9,14431.3
1180,13354,16084.8,15043,18191.6,17367.4,14422.4
1200,13363.9,16086.9,15046.4,18194.7,17352,14412.7
1220,13365,16083.1,15044.7,18219.7,17419.4,14460.4
1240,13409.2,16136,15096.6,18346.1,17591.9,14569.6
1260,13420.1,16167.5,15115.3,18425,17681.7,14649.8
1280,13440.8,16196.7,15132.9,18467.3,17776.1,14688
1300,13463.7,16212.3,15159.9,18512,17823.6,14737
1320,13467.3,16230,15163.9,18537.6,17856.3,14765.1
1340,13476.8,16234,15179.2,18555,17897,14794.5
1360,13491.2,16247.3,15190.7,18575.6,17910.3,14809.4
1380,13501.1,16253.1,15208.8,18592.5,17927.7,14816.6
1400,13504,16250.7,15199.5,18618.6,17943.5,14848.9
1420,13515.9,16267.9,15205.6,18630.9,17956.4,14857.5
1440,13504.3,16275.8,15215.3,18639.4,17942.1,14870.7
1460,13511.5,16273.3,15214.7,18676.2,17994.9,14882.6
1480,13523.4,16276.4,15212.5,18679.5,18015.1,14910
1500,13526,16281.6,15207.8,18675.2,18023.6,14903.8
1520,13520.3,16286.4,15223.1,18686.6,18032,14905.6
1540,13524.8,16287.4,15230.8,18700.3,18062.9,14927
