Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,13382.4,16097.5,15074.8,21519.3,17217,17378.6
40,13376.4,16099.1,15070.1,21522.9,17216,17364.9
60,13375.5,16116.5,15073.8,21525.8,17215.2,17365.5
80,13374.5,16106.2,15066.4,21514.2,17213.1,17361.7
100,13373.8,16107.7,15076.1,21510.3,17216.1,17373.7
120,13378.5,16117.1,15086.7,21523.2,17209.6,17379.7
140,13362.4,16107.3,15085.5,21516,17205.5,17366.5
160,13380.3,16108.5,15082,21497.6,17209.5,17371.2
180,13379.2,16111.4,15071.9,21512.7,17195.6,17352.1
200,13374.2,16126.2,15071.4,21518.3,17194.8,17362.5
220,13366.8,16120.8,15069.6,21498.1,17203.4,17374.7
240,13366.9,16115.8,15066.7,21513.8,17202.9,17364.4
260,13368.9,16117.3,15070.6,21501.3,17201.3,17357.1
280,13357.8,16115.4,15064.3,21501.3,17209.1,17361.7
300,13362.2,16100,15064.9,21484.6,17223,17361.9
320,13372.6,16096.4,15062.2,21493.3,17185.2,17357.6
340,13367.1,16103.2,15066.5,21484.8,17190.6,17359.3
360,13366.3,16110.9,15064.2,21515.9,17200.4,17353.4
380,13361.9,16103.7,15066.8,21495.2,17187,17354.9
400,13365.1,16105.9,15070.2,21488.7,17203.2,17384.5
420,13359.9,16105.3,15065.6,21504.3,17189.2,17348
440,13380.4,16097.6,15059.7,21498.4,17194.7,17365.4
460,13372,16092.6,15075.1,21505.8,17191.8,17365.4
480,13367.6,16085.7,15059,21495,17207,17378.6
500,13367.2,16118.2,15041.4,21493.3,17194.5,17358.5
520,13358.5,16084.4,15051.5,21475.8,17206.3,17348.9
540,13355.5,16089.9,15053.4,21473.9,17203.7,17363.4
560,13360.4,16094.7,15045.9,21482.6,17197.2,17352.6
580,13374.4,16086.3,15057,21482.2,17209.7,17357.3
600,13370,16103.1,15052.8,21491,17196.8,17369.4
620,13362.2,16095.8,15051.4,21463.6,17200.2,17356.8
640,13369.9,16102.5,15039.4,21480.2,17188.3,17351.2
660,13368.5,16098,15054.5,21470.3,17188.4,17347.7
680,13365.4,16087.3,15053.6,21469.5,17179,17358.2
700,13372.5,16107.6,15059.2,21471.1,17184.8,17351.2
720,13366.4,16094.5,15052.9,21464.7,17185.6,17353.1
740,13363.6,16081.9,15051,21481.9,17192.7,17348.6
760,13371.1,16093.5,15068.1,21468.2,17187.2,17344.3
780,13366.2,16088.9,15044.4,21466.5,17184.1,17338.7
800,13366.6,16090.7,15054.5,21442.8,17178.1,17339.4
820,13365.9,16083.2,15057.5,21460.8,17188.8,17357.3
840,13354.9,16090.4,15042.7,21469.7,17193.4,17350.3
860,13367.5,16087.4,15072.2,21452.3,17189.5,17340.2
880,13354.6,16085.8,15066.6,21445,17207.8,17329.6
900,13365.5,16076.2,15060.7,21464.9,17185.2,17323.5
920,13361.2,16082.8,15047.6,21476.9,17172.6,17329.8
940,13362.4,16082.7,15067,21450.8,17180.9,17327.6
960,13354.6,16098.3,15056.7,21465.6,17172,17336.3
980,13348.7,16081.4,15066.2,21468.7,17186,17338.4
1000,13356,16083.2,15066.1,21448.4,17183.5,17332.7
1020,13368.2,16092.5,15056.2,21448.2,17181.9,17338.8
1040,13358.2,16081.1,15051.8,21450.3,17181.2,17335.2
1060,13365,16094.4,15047.8,21458.1,17170.6,17325.7
1080,13358.6,16082.6,15058.5,21441.2,17170.9,17324.7
1100,13370,16095.4,15044.2,21458.5,17166.6,17315.3
1120,13359.3,16091.1,15046.3,21435.9,17170.9,17319.6
1140,13351.7,16088.3,15048.9,21432.4,17166.3,17316.5
1160,13356.8,16081.5,15047.8,21438.5,17170.5,17316.1
1180,13354,16084.8,15043,21437.3,17161.7,17311.8
1200,13363.9,16086.9,15046.4,21443.2,17148,17310.9
1220,13365,16083.1,15044.7,21501,17212.3,17377.9
1240,13409.2,16136,15096.6,21678.7,17359.5,17524.3
1260,13420.1,16167.5,15115.3,21774.6,17443.4,17588.7
1280,13440.8,16196.7,15132.9,21850.7,17500.5,17642.7
1300,13463.7,16212.3,15159.9,21900.5,17536.4,17682.3
1320,13467.3,16230,15163.9,21952.6,17568.1,17720.8
1340,13476.8,16234,15179.2,21975.8,17598,17730
1360,13491.2,16247.3,15190.7,22012.5,17621.9,17746.4
1380,13501.1,16253.1,15208.8,22023.5,17636.4,17776
1400,13504,16250.7,15199.5,22030.4,17658.2,17775.9
1420,13515.9,16267.9,15205.6,22051.6,17643.7,17802.4
1440,13504.3,16275.8,15215.3,22061.2,17663.6,17825.5
1460,13511.5,16273.3,15214.7,22077.9,17673.1,17830.2
1480,13523.4,16276.4,15212.5,22090.5,17675.7,17851.2
1500,13526,16281.6,15207.8,22122.7,17694.2,17843.1
1520,13520.3,16286.4,15223.1,22121.6,17690.5,17856.9
1540,13524.8,16287.4,15230.8,22132.2,17712.6,17870.3
1560,13522.8,16297.4,15223.2,22123.1,17724.8,17873
1580,13521.7,16292.1,15246.5,22146.3,17726.9,17865.6
1600,13528.7,16293.2,15247.5,22162.7,17731.4,17874.1
1620,13530.9,16294,15226.6,22164.8,17723.2,17889.8
1640,13520.9,16299.4,15257,22165.3,17728.4,17885.2
1660,13521.3,16303.6,15234.4,22179,17731.6,17903.5
1680,13534.9,16300.2,15225.2,22168,17733.6,17895.5
1700,13539.2,16310.8,15259.5,22191.6,17745.3,17920.5
1720,13546.8,16310.4,15227.5,22176.5,17760.8,17918.4
1740,13542.4,16309.6,15251.2,22202,17754.3,17931.6
1760,13542.9,16309.6,15251.2,22201.2,17760.3,17930.2
1780,13544,16320.4,15247.6,22207.8,17762.3,17934.9
1800,13560.2,16322.9,15268,22215.1,17776.5,17922
1820,13552.4,16332.5,15256.2,22228,17775.4,17940.4
1840,13541.8,16323.9,15262.7,22215.9,17778.1,17954
1860,13561.5,16328.8,15272.4,22230.5,17780.8,17939.3
1880,13553.4,16329.5,15265.8,22226.7,17785.7,17967
