Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,21451.2,23174.8,18643.6,18276.5,17530,24196.1
40,21463.4,23152.9,18630.4,18271.3,17524.5,24199.1
60,21456.5,23149.2,18649.4,18282.1,17522.2,24201.2
80,21462.7,23126.2,18637.9,18293.8,17535,24200.1
100,21461.7,23150,18614.1,18270.3,17535.3,24206.2
120,21438.5,23157.4,18604.2,18251.2,17526.6,24214.9
140,21453.3,23137.4,18601.4,18254.6,17513.4,24204.1
160,21474.6,23131.4,18599.5,18259.9,17525.3,24192.2
180,21437.4,23111.6,18604.3,18243.3,17515.2,24192
200,21435.6,23137.9,18592.9,18259.6,17506.6,24197.7
220,21442.9,23110.8,18594.6,18271.4,17512,24175.5
240,21442.4,23110.2,18586.4,18264.1,17515.8,24182.9
260,21422.5,23087.7,18583.7,18241.9,17507.6,24166.6
280,21459.4,23112.1,18589.9,18255.1,17499.1,24182.3
300,21444.8,23128.1,18596,18246.9,17518.2,24162.1
320,21471,23143.4,18595.8,18247.3,17495.9,24180.9
340,21442.4,23121.8,18596,18236.5,17500.5,24170.1
360,21429.1,23101.1,18617.3,18217.3,17505.3,24169.4
380,21440.8,23118.4,18601.2,18221.4,17490.9,24154.9
400,21439.6,23139.4,18586.1,18230.9,17500.3,24140.1
420,21426.1,23117,18594.3,18237.3,17494.6,24165.6
440,21428.6,23122.9,18584.9,18228,17495.4,24132.3
460,21426.9,23103.5,18592.6,18224.7,17502.7,24129
480,21403.1,23112.5,18595.7,18228,17504.6,24145.3
500,21406.8,23111.4,18580.9,18239.6,17491.7,24142.6
520,21400.6,23109.1,18579,18242.5,17487.9,24147.7
540,21417.2,23094.4,18593,18213.7,17478.7,24152
560,21410.1,23113.6,18601.5,18217.8,17476.8,24128.1
580,21432.4,23076.7,18574,18224.8,17489.6,24112.2
600,21420.3,23087.7,18572.5,18221.2,17481,24120.2
620,21402.3,23066.3,18593.4,18208.8,17479.9,24123.9
640,21418.4,23091.9,18574.1,18216.6,17473.4,24096.7
660,21437,23081.2,18556.7,18210.7,17478.2,24122.7
680,21417.1,23083.9,18565.4,18193.6,17469,24106.6
700,21424.3,23065.6,18573.4,18209,17478.4,24117.4
720,21392.9,23058.5,18575.8,18199.6,17470.2,24110.9
740,21391.1,23073.9,18579,18207.2,17473.4,24097.3
760,21402.5,23062.1,18583.6,18202.8,17466.1,24112.7
780,21389.7,23056,18560.1,18188.2,17466,24089.2
800,21375.8,23070.4,18570.3,18203.5,17467.5,24104.5
820,21415.9,23074.5,18553,18205.1,17454.8,24087
840,21388.3,23059.2,18553.8,18178.3,17458.8,24088.2
860,21392.2,23097.1,18551.4,18157.4,17460.2,24102.7
880,21396.7,23059.2,18561.4,18172.4,17448.8,24099.9
900,21375.6,23070.8,18556.4,18193.1,17445.5,24108.6
920,21386.7,23040,18555.6,18167.9,17458.9,24076.8
940,21353.1,23075.8,18556.6,18145.9,17446.7,24074.6
960,21360.2,23087,18556.7,18174.2,17456,24084.4
980,21375.3,23056.5,18572.1,18184.8,17444.3,24092.5
1000,21371.2,23065.4,18554.8,18184,17461.2,24101.6
1020,21385.9,23057,18543.5,18170.2,17457.4,24074.4
1040,21389.7,23053.6,18532.5,18176.2,17442.6,24095.1
1060,21376.3,23065.4,18551.6,18171.3,17455.9,24080.1
1080,21363.9,23056,18565.2,18172.5,17441.5,24065.2
1100,21363,23052.8,18558.9,18172.2,17446,24075.8
1120,21360.6,23048.5,18548.3,18157.5,17445.9,24076.2
1140,21362.4,23061.1,18534.5,18164.5,17431.7,24076.3
1160,21365.5,23039.8,18553.5,18199.4,17429.4,24076.4
1180,21363.9,23020.1,18542.3,18179.6,17450.6,24060.8
1200,21350.9,23020.5,18539.8,18164.2,17442.7,24063.9
1220,21464.7,23198,18647.1,18286,17579.8,24226.5
1240,21665.5,23476.7,18892,18466,17758.4,24488.5
1260,21767,23585.4,19010.5,18560,17849.9,24603.3
1280,21829.4,23691.6,19082.1,18626.5,17894.7,24654.1
1300,21899.3,23723.6,19136.2,18661.2,17941.8,24705.4
1320,21941.2,23808.8,19203.2,18670.8,17973.6,24737.6
1340,21958.1,23832,19245.9,18704.5,17983.1,24755.2
1360,21989.3,23880.5,19283.3,18729.8,18010.2,24770.3
1380,22001.1,23911.7,19322.7,18739.1,18017.7,24818.5
1400,22032.1,23953.4,19340.4,18750.9,18020.5,24825.4
1420,22032.9,24002.1,19350.2,18778.2,18049.5,24836.4
1440,22076.2,24011.7,19379.8,18781,18073.6,24850.4
1460,22068.2,24048.3,19413.8,18787.6,18079.8,24840.1
1480,22101.8,24068.7,19407.7,18811.1,18085,24861.4
1500,22142.8,24084,19422.6,18798,18103.8,24860.3
1520,22129.8,24094,19453.5,18807.7,18090.4,24849.4
1540,22167.2,24123.7,19451.3,18855.5,18102.2,24903.3
1560,22157.2,24134.5,19457.7,18835.4,18100.7,24907.4
1580,22145.9,24152,19479.3,18854.7,18112.4,24923.3
1600,22145.9,24210.1,19504.5,18841.4,18125.6,24916.2
1620,22178,24170.8,19534.1,18846.3,18111.9,24898.7
1640,22204.2,24188.3,19542.1,18858.5,18136,24912.4
1660,22189.9,24199.9,19543.4,18860.9,18124.6,24931.2
1680,22198.9,24217.9,19584.6,18866.9,18155.7,24945.6
1700,22213.9,24215.7,19587,18871.6,18150.2,24951.6
1720,22253,24235.4,19580.1,18878.2,18160.7,24942.1
1740,22249.9,24237.7,19603.8,18879.7,18167.6,24960
1760,22260.1,24282.7,19607.2,18885.6,18143.9,24957.5
1780,22292.8,24284.6,19607.2,18903.6,18167.2,24995.6
1800,22279.6,24278.5,19636.3,18902.6,18167.2,24995.6
1820,22302.3,24284.5,19643,18899.9,18186.5,25012.7
1840,22281.7,24284.2,19673.5,18887.2,18190.9,25030.8
1860,22295.4,24280.9,19641.7,18906.9,18205.8,25014.8
1880,22322.1,24307,19661.1,18891.4,18214.2,25020.4
1900,22314.6,24313.2,19672.5,18907.5,18212.2,25011.6
1920,22306.2,24317.6,19670.6,18907.3,18196.1,25029.7
1940,22321.4,24361.5,19685.7,18937.2,18206.9,25044.1
1960,22319.6,24346.1,19702.4,18916.7,18214.2,25047.5
1980,22342.4,24321.1,19692.7,18941.2,18218.5,25038.1
2000,22370.4,24354.4,19702.1,18933.3,18224.2,25059.6
2020,22370.3,24379.4,19743.5,18938.9,18219,25057.1
2040,22386.2,24403,19748.8,18936.3,18224.4,25068.3
2060,22377.7,24389,19722.9,18949,18216.2,25063.4
2080,22363.6,24397,19726.2,18964.4,18243.5,25065
2100,22394.4,24399.3,19741,18957.8,18232,25071.9
2120,22406.7,24410.7,19774.1,18955.6,18254.7,25104.2
2140,22402.5,24409.2,19777.8,18979.2,18263.4,25095.5
2160,22359.1,24421.4,19751.7,18970.2,18270.9,25082.1
2180,22434.2,24442.7,19761.1,18981.2,18260.3,25093.6
2200,22395.6,24465.8,19766.4,19000,18274.4,25113.5
2220,22395.7,24454.1,19774,18988.2,18264.5,25118.1
2240,22411.3,24463.4,19789.2,18987.8,18274.7,25091.3
2260,22440.1,24443.5,19791.7,18986.8,18276.8,25114.7
2280,22408,24459.9,19794.8,19015.1,18299.5,25117
2300,22431.2,24477.5,19788,18990.5,18307.1,25138.8
2320,22430.5,24474.1,19828.2,18998.1,18275.8,25114.4
2340,22454.2,24487.3,19804.3,18993.9,18304.2,25133.1
2360,22425.4,24482.8,19838.4,19009.3,18306.9,25144.3
2380,22437.5,24474.5,19831.7,19030.3,18311.3,25153.3
2400,22454.5,24485.8,19792.5,19021.6,18291.7,25145
2420,22337.2,24322.5,19711.3,18935.4,18210.8,25016.3
2440,22143.5,24058.6,19456.9,18768.3,18022.3,24822.7
2460,22026,23943.4,19335.7,18684.9,17958.7,24716.7
2480,21973.5,23866.8,19257.4,18638.3,17899.5,24660.9
2500,21936.4,23779.2,19200.2,18600,17881.1,24618.7
2520,21859.6,23730.9,19169.2,18580.1,17849.5,24595.8
