Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,18257.4,14695.5,12166.4,19974.9,19493.9,23233.1
40,18252.9,14697.3,12152.8,19978.7,19481.7,23256.6
60,18253.4,14679.9,12163.1,19984.2,19506.8,23210.6
80,18235.7,14692.4,12155.2,19986.6,19479.8,23205.7
100,18247.6,14684,12161,19965.8,19484,23214.2
120,18231.7,14690.9,12155.2,19973.5,19464.6,23214.2
140,18226.4,14680.9,12162.1,19963.5,19470.5,23218
160,18233.5,14683.4,12161.2,19968.9,19461.8,23225.9
180,18240.1,14681.1,12162,19974.3,19473.8,23229.2
200,18236.9,14683.4,12160.2,19972.9,19467.4,23204
220,18238.4,14705.1,12152.6,19978.6,19469,23185.2
240,18230.6,14696.6,12147.4,19954.2,19453.6,23198.6
260,18222.2,14700.6,12154.9,19976.2,19466.3,23208.3
280,18224.8,14684.5,12148.9,19964.6,19452,23169
300,18207.8,14687.6,12150.7,19950.9,19429.8,23182.7
320,18212.1,14692.2,12142.8,19957.3,19437.4,23198.7
340,18217.3,14678.7,12134.2,19961.5,19451.5,23187.8
360,18213.7,14677.1,12138.5,19957.3,19444.2,23190.1
380,18216.1,14654.7,12157.9,19965.7,19427.6,23187.2
400,18218.2,14666.4,12146.8,19965.1,19440.2,23182.4
420,18222.1,14672.1,12142.6,19942.4,19451.2,23147.9
440,18203.8,14677.9,12150.5,19949.3,19445.8,23168.1
460,18221.8,14657.5,12144.2,19944.6,19429.8,23143.3
480,18224.7,14672.9,12145.2,19927.4,19420.2,23147.7
500,18212.9,14669.6,12139.3,19915.6,19399.7,23157.1
520,18215.9,14664.9,12130.8,19946.5,19395,23168.4
540,18219.4,14669.2,12145.6,19930.2,19405.3,23158.1
560,18211.1,14674.9,12139.6,19942,19411.9,23161
580,18212.9,14669.8,12136.2,19939.7,19423,23141.8
600,18216.3,14675.7,12132.2,19922.2,19421.5,23149.1
620,18217.1,14663.4,12129.6,19948.8,19422.4,23147.8
640,18197.9,14647.5,12130.4,19935.8,19420.8,23132.7
660,18213.7,14654.9,12127.3,19938.9,19421.3,23145.4
680,18208.6,14661,12126.8,19930.6,19416.4,23126.8
700,18211.4,14658.2,12137.6,19930.6,19412.4,23135.8
720,18224.5,14653.6,12127.6,19927.9,19400.6,23123
740,18190.3,14662.3,12126,19932.5,19420.4,23105.1
760,18189.4,14662.6,12136.4,19927.5,19408.9,23137.1
780,18190.7,14658,12119.9,19927.3,19378.9,23129.4
800,18207.2,14651,12127.8,19924,19391.9,23086.1
820,18207.1,14649.4,12116.8,19934.3,19394.9,23115.6
840,18189,14648.7,12121.8,19937.8,19389.7,23128.1
860,18205.6,14638.4,12111.6,19923.8,19403.5,23119.8
880,18205.9,14639.1,12114.5,19919.3,19400,23125.1
900,18208.8,14653.9,12120,19917.4,19398.5,23142.2
920,18182.4,14650.7,12109.1,19921,19407.5,23124.2
940,18182.4,14663.9,12114.2,19925.7,19402.2,23143.6
960,18181.6,14656,12117.4,19919.5,19385.9,23127.2
980,18181.6,14641.2,12127.9,19914.6,19402.4,23127.4
1000,18171.4,14638.3,12116.8,19915,19402.1,23122.3
1020,18194.5,14631.9,12122.6,19922.4,19416.1,23150.2
1040,18196.7,14643.8,12115.1,19912,19419.8,23145
1060,18202.1,14636.5,12113.5,19913.4,19382.9,23140.7
1080,18191,14630.2,12116.4,19919.1,19391.7,23135.6
1100,18184.1,14639.2,12114.1,19900.4,19393.3,23146.3
1120,18180.8,14639.5,12117.6,19912.4,19399.6,23142.2
1140,18179,14647.9,12123.3,19914.3,19398.4,23161
1160,18193.7,14648.5,12123.3,19907.2,19397.8,23137.6
1180,18195.8,14641.5,12123.8,19903.5,19403,23160
1200,18185.9,14630.8,12112.1,19922.1,19396.4,23160.9
1220,18256.3,14735.4,12197.7,19927.3,19401.8,23183.6
1240,18403.8,14906.4,12324.5,20024.1,19538.2,23311.3
1260,18497.1,14966.5,12389.1,20053.7,19574.8,23357
1280,18532.6,15025.8,12427.6,20084.3,19630.2,23422.3
1300,18577.6,15064.2,12487.6,20120,19647,23442.3
1320,18651.1,15116.5,12512.2,20139.6,19663.3,23455.6
1340,18659,15127.6,12553.7,20153.8,19668.4,23472.1
1360,18688.8,15150.6,12577.9,20158.5,19697.9,23492
1380,18708.5,15197.9,12583.5,20182,19716.8,23506.9
