Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,21613.9,19953.1,18642.2,28863.7,27296.3,27691.2
40,21629.8,19964.4,18647.3,28879.5,27299.3,27701.9
60,21606.9,19951.1,18625,28893.3,27295.9,27690.2
80,21604.2,19950.5,18651.5,28906.3,27310.4,27668.4
100,21603.5,19944.2,18641.5,28869.5,27297.3,27694.3
120,21596.3,19951.8,18630.2,28847.5,27303,27673.1
140,21613.8,19956.8,18646,28874.5,27278.7,27666.6
160,21584.5,19942.6,18630.3,28880,27280.6,27681.4
180,21589,19924.9,18640.3,28875.7,27268.2,27687.1
200,21591.1,19931.7,18630.3,28839.4,27278,27686
220,21597.4,19917.3,18622.7,28844.6,27261.1,27685.6
240,21579.5,19937.7,18633.1,28853.9,27275.7,27663.8
260,21594.8,19918.1,18648.1,28831.3,27290.9,27681.6
280,21579.7,19928.2,18636,28799.5,27260.3,27653.4
300,21602.7,19899.8,18638.8,28834.7,27243.6,27659.5
320,21595,19922,18637.9,28798.9,27239.9,27635.2
340,21575.1,19932.5,18633.7,28815.8,27221,27639.1
360,21573.6,19898.1,18626.3,28815.9,27225.8,27638.8
380,21585.1,19910.9,18631.7,28796.4,27226.9,27605.3
400,21569.3,19910.7,18629,28796.3,27205.9,27624.9
420,21575.6,19899.7,18605.6,28780.9,27240.4,27620
440,21565.5,19916.4,18621.4,28805.3,27214.7,27602.8
460,21578,19871.5,18601.1,28813.1,27240,27590.3
480,21582.9,19903.4,18611.3,28793.8,27245.1,27589.1
500,21576.9,19890,18609.7,28820.5,27238.9,27560.9
520,21573.8,19888.6,18612.4,28825.3,27220.3,27579
540,21571.1,19895.8,18595.7,28809.2,27205.3,27604.9
560,21582.6,19902.3,18613.1,28790.7,27266.5,27583.8
580,21596.6,19895.8,18597.2,28766,27228,27613.9
600,21570.6,19915.7,18598.7,28772.5,27211.1,27630.3
620,21587.4,19898.5,18607.3,28759.7,27176.7,27601
640,21575.1,19892.8,18596.7,28758.3,27211.2,27589.7
660,21561.2,19877.5,18598.4,28778.3,27242.9,27624.5
680,21576.2,19885.6,18587.1,28776.8,27209.4,27626.7
700,21558.2,19882.6,18601.7,28736.9,27200,27599.1
720,21566.1,19895.8,18589.9,28771.3,27190.3,27637.7
740,21574.9,19892.9,18590.4,28761.8,27195.3,27590.8
760,21581.8,19893.5,18591.1,28768,27170,27596.6
780,21552,19886.7,18588.3,28785,27172,27603.8
800,21560.3,19875.7,18589,28776.8,27180.1,27618.2
820,21546.1,19884.8,18606.9,28775.5,27193,27581.1
840,21567.7,19884.8,18606.9,28766.2,27152.9,27578.5
860,21562,19887.8,18593.9,28768.9,27165.9,27587
880,21568.8,19888.6,18590.4,28756.7,27164.7,27583.4
900,21573.4,19887.5,18581.1,28739.4,27178.2,27584.2
920,21552.3,19875.9,18594.8,28754,27200.9,27560.2
940,21539.1,19884.8,18570.1,28735.4,27197.7,27555.3
960,21547.9,19883,18571.8,28764.3,27183.7,27570.6
980,21548.8,19876.9,18580.2,28760.1,27171,27544
1000,21552.4,19868.9,18567.3,28749.2,27173.6,27557.3
