Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,16584.7,22205.1,18352,20266.3,16911.5,20212.3
40,16581.8,22191,18352.6,20264.5,16901.3,20206.6
60,16574.8,22160.2,18364.6,20261.9,16921.9,20202.2
80,16578.1,22153.7,18347.3,20254.9,16914.2,20207.3
100,16576,22165.3,18327.5,20251.2,16917.5,20204.5
120,16579.6,22167.5,18330,20256.3,16934.1,20206.7
140,16562.4,22177.9,18340.9,20262.1,16919.6,20180.4
160,16554.1,22168,18316.1,20271.8,16900,20205
180,16572,22147.9,18333.3,20269.2,16907.2,20199.1
200,16569.6,22154.6,18335,20271,16914.7,20196
220,16550.9,22131.8,18303.7,20262.4,16908.6,20212.3
240,16566.8,22141.1,18309.6,20258.1,16920.3,20207
260,16565.3,22176.3,18318.6,20259.2,16910.1,20213.7
280,16554.4,22149,18324.5,20271,16920.8,20199.1
300,16551.7,22169,18298.7,20258.6,16914.6,20204.2
320,16549.1,22154.2,18303.8,20276.9,16911.2,20192.6
340,16543.3,22136.5,18312.9,20263.1,16904.7,20188.1
360,16544.2,22125.6,18302.2,20262.3,16913.1,20187.2
380,16552.2,22121.7,18318.8,20275.2,16921.6,20195.5
400,16545.8,22103.4,18305.5,20246.7,16924.1,20193.6
420,16541.2,22110.5,18313.3,20254.8,16915.9,20187.5
440,16527.1,22112.3,18308.3,20270.6,16921.2,20217.4
460,16533.4,22115.2,18292,20264.9,16923.7,20215
480,16531.1,22126.6,18301.4,20271.3,16923.9,20200.3
500,16530.4,22102.3,18311.4,20265.7,16909.1,20191.8
520,16535.2,22126.7,18290,20274.3,16924.2,20189.3
540,16547.7,22099.4,18298.8,20275.7,16927.7,20193.4
560,16542.2,22107.3,18283.9,20266.1,16923.8,20192
580,16524.1,22101.9,18270.6,20262.2,16913.7,20191.6
600,16530.7,22065,18286.2,20288.8,16920.3,20188.2
620,16506.1,22049.7,18280.8,20260.8,16931.7,20207.4
640,16513.7,22096.8,18266.4,20250.1,16921.1,20189.1
660,16516.7,22069.8,18264.7,20256.9,16917.3,20204.1
680,16525.3,22080.7,18264.9,20249.4,16922.4,20193.1
700,16516,22080.5,18251.1,20280.8,16909.2,20171.1
720,16530.3,22061.3,18248,20264,16916.9,20168.9
740,16522.8,22068.2,18264.1,20278.9,16907.7,20169.1
760,16519.7,22059,18273.6,20274.9,16912.7,20175.8
780,16502.3,22089.2,18233.6,20246.7,16916.4,20158.7
800,16510.6,22070,18237.6,20252.8,16900.7,20181.7
820,16503.7,22058.7,18243,20260.7,16918.9,20160.3
840,16504.9,22044.5,18249,20241,16910.6,20177.8
860,16502.2,22038.6,18256.2,20252.8,16909.7,20182.6
880,16508.3,22028.1,18248.9,20257.7,16919.9,20176.6
900,16512.3,22032.1,18265.5,20270.3,16913.6,20199.9
920,16519.8,22046.9,18272.2,20259.8,16903.3,20168.1
940,16514.8,22038.9,18256.4,20269.6,16902.2,20183.7
960,16513.3,22039,18261.6,20253.4,16907.8,20176.7
980,16504.4,22034.9,18269.5,20265.2,16903,20165.1
1000,16496.8,22013.3,18274,20254.8,16909.2,20172.4
1020,16519.3,22035.2,18265.9,20254.8,16901.7,20165.3
1040,16496.9,22031.6,18271.4,20259.3,16906.3,20157.1
1060,16506.2,22027,18270.8,20235.3,16908.7,20162.8
1080,16519.3,22011.1,18266.7,20249.3,16907.3,20174.2
1100,16500.1,22019.6,18266.9,20237.8,16910.2,20179.4
1120,16521.9,22007.7,18271.1,20248.1,16916.7,20173.5
1140,16515.8,22015.9,18261.8,20238.8,16907.6,20179.9
1160,16514.3,22024,18266.8,20247.1,16921.2,20169.6
1180,16516.4,22020.5,18256.8,20260.5,16911.2,20185.3
1200,16519.5,22028.8,18259.1,20254,16906.8,20185.3
1220,16663.1,22350.1,18490.1,20287,16936.8,20214.4
1240,16937,22735.4,18758,20356.9,17009.7,20322.6
1260,17042.7,22906.6,18924.7,20400.1,17026.7,20353.8
1280,17095.1,23030.2,18989.6,20415.9,17051.2,20376
1300,17161.4,23130.9,19077.7,20440,17060.8,20406.6
1320,17153.3,23144.2,19120.6,20436.8,17061.8,20401.7
1340,17194.8,23205.4,19139.3,20445.3,17074.7,20409.9
1360,17231.8,23266,19167.7,20430.8,17068,20418.5
1380,17262.5,23286.2,19188.5,20446.8,17065.5,20422.8
1400,17281.3,23301.1,19214.6,20469.6,17078,20434.5
1420,17315.9,23352.4,19265.6,20442.6,17086.7,20433.3
1440,17325.2,23378.2,19269.5,20463.4,17105.1,20447.5
1460,17340.2,23422.4,19283.9,20465.4,17114.4,20455.8
1480,17354,23420.6,19295.7,20476.6,17114.2,20465
1500,17382.5,23460.7,19328.1,20479.2,17104.4,20461.4
1520,17389.1,23471.3,19332.8,20478.9,17124.9,20473.7
1540,17400,23484.8,19355.4,20486,17115.8,20477.1
1560,17399.4,23503.5,19354.3,20497.5,17116.3,20493
1580,17421.4,23500,19346.6,20492.9,17118.7,20483.2
1600,17406.6,23503.5,19383.1,20506.6,17126.3,20487.4
1620,17448.6,23553.8,19382.2,20517.9,17134.3,20512.3
1640,17449,23555.5,19371.9,20503.7,17123.6,20483
1660,17479.2,23559.9,19412.5,20513.1,17130.8,20502
1680,17489.8,23587.8,19422.4,20507.1,17134.4,20493.7
1700,17488.2,23632.4,19429,20518.5,17133.6,20497.4
1720,17495.8,23646,19433.9,20528.8,17130.4,20514.4
1740,17491.8,23599.5,19460.7,20543,17134.2,20502.8
1760,17489,23648,19493.9,20546.1,17133.8,20518.7
1780,17468.4,23631.7,19448.9,20527.3,17138,20520.7
1800,17515.5,23677.4,19478.9,20541.2,17150.5,20542.7
1820,17508.6,23712.2,19497.1,20528.4,17150.7,20534.3
1840,17511.9,23704.9,19503.6,20536.3,17142.7,20550.9
1860,17524.5,23692.2,19514.6,20532.7,17141.3,20542.7
1880,17531.8,23741.9,19520.6,20549.7,17146.2,20574.8
1900,17548,23741.8,19501.1,20539.6,17146.5,20553.2
1920,17553.6,23753.7,19556.8,20550.2,17163.6,20549.1
1940,17544.6,23770.1,19557.7,20550.5,17160,20554.3
1960,17551.8,23744.8,19537.9,20573.2,17166,20562.3
1980,17556.2,23763.6,19560.5,20554.1,17178.6,20567.8
2000,17560,23758.6,19532.8,20553.8,17168.6,20565
2020,17583.8,23825.4,19570.9,20562,17165.5,20571.7
2040,17585.4,23805.6,19572.9,20572.4,17184.6,20576.3
2060,17595.9,23801.8,19583.8,20575.3,17173.5,20581.5
2080,17609.2,23815.4,19589.8,20578.8,17173,20570.1
2100,17624.5,23831.6,19593.9,20590.8,17186.6,20585.7
2120,17623.8,23825.8,19555.6,20609.1,17186.2,20587.1
2140,17617.4,23839.3,19602.2,20593.7,17198.1,20598.1
2160,17631.9,23864.7,19609.9,20586.6,17182.2,20577.1
2180,17629.5,23873.1,19619,20592.8,17186.5,20583.7
2200,17639.7,23887.9,19614.4,20597.9,17212,20601.5
2220,17652.5,23901.7,19615.9,20592.1,17200.3,20590.1
2240,17681.2,23901.1,19621.6,20587.7,17184.3,20602.3
2260,17675.4,23927.9,19640.9,20606.7,17197.6,20571
