Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,21079.3,22577,18202,17888.7,17126.7,23602.3
40,21060,22566.4,18184.5,17890.4,17141.1,23566
60,21045,22553.5,18192.6,17888.2,17129.7,23579
80,21046.4,22556.3,18175.6,17878.6,17120.2,23578.4
100,21052,22578,18193.9,17880.8,17136.2,23570.5
120,21061,22538,18175,17887.7,17135.9,23590.6
140,21067.2,22537.5,18191.1,17883.6,17140.6,23572.5
160,21075.9,22563.2,18182,17872.4,17139.1,23571.8
180,21055.3,22564.8,18189.6,17895.5,17138.3,23569.6
200,21065,22567,18172.7,17888.1,17145.5,23566.2
220,21043.6,22561.7,18188.8,17877.7,17137.7,23568.7
240,21036.4,22568.5,18170.2,17883.7,17136.6,23539.7
260,21055.2,22591.2,18170.9,17874.5,17119.8,23559.1
280,21033.6,22572.4,18189.7,17865.1,17118.4,23552
300,21049.8,22570.8,18175.1,17871.6,17103.7,23550.8
320,21035.5,22595.9,18162.1,17879.5,17125.8,23551.5
340,21036.3,22572,18163.4,17863.7,17111.1,23530
360,21038.1,22596.8,18164.4,17870.8,17109,23567.6
380,21045.5,22580.9,18158,17873.7,17127.5,23539
400,21038.2,22587.2,18161.8,17881.4,17105.6,23535.1
420,21032.3,22582.2,18154.1,17879.6,17113.2,23557.4
440,21048.5,22570.6,18160.3,17875.6,17111.5,23546.5
460,21034.2,22568,18173.7,17859.2,17117.1,23558.2
480,21039.5,22567.5,18158.4,17869,17105.4,23548.1
500,21035.9,22546.1,18154.9,17856.4,17109.6,23551.1
520,21046.5,22571,18139.5,17860,17101.2,23538.4
540,21045.3,22568.8,18146,17867.3,17113.8,23555.4
560,21022.5,22559.7,18142.6,17868.1,17112.6,23544.3
580,21012.6,22558.3,18146.6,17840,17098.8,23557.4
600,21030.6,22562.7,18150.8,17859.4,17103.9,23523.9
620,21020.9,22593.2,18141,17859.4,17104.1,23546.4
640,21020.9,22565.2,18160.3,17853,17099.9,23531.1
660,21004.2,22532.1,18152.6,17852.4,17121,23536.8
680,21008.5,22519.4,18149.9,17848.2,17112.5,23537.4
700,21018,22517.6,18133.4,17852.7,17116.1,23531.9
720,21027.5,22548.3,18154.1,17840,17124.2,23534.6
740,21012,22531.1,18137.3,17865.4,17112.7,23529
760,21045.6,22524.5,18156.2,17864.7,17105.5,23533.4
780,21050.5,22552.4,18153.9,17852.1,17103.5,23535.3
800,21011.9,22532.6,18133.7,17857,17095.2,23511
