Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,18170.7,14574.7,12125.6,19873.9,19390.8,23112.6
40,18159.3,14575.4,12131.8,19876.4,19390.5,23119.6
60,18166.5,14572.7,12132.9,19871.1,19408.4,23096.3
80,18169.6,14566.4,12119.7,19840.4,19380.2,23101.7
100,18168.8,14564.7,12121.2,19866.9,19385.9,23104.6
120,18150.2,14570.8,12112,19863.9,19381.6,23105.6
140,18163,14558.5,12113.7,19880,19396.9,23107
160,18176,14555.3,12112.6,19865.8,19376.9,23114.3
180,18154.9,14557,12122.6,19864.9,19374.8,23112.1
200,18173.6,14551.4,12114.3,19879.7,19362.3,23109.2
220,18157.9,14564.6,12118,19885.3,19387.3,23098.7
240,18165.3,14553.4,12118.8,19877.9,19376.6,23102.1
260,18163.6,14552.5,12120.3,19865.9,19379.8,23093.7
280,18154.4,14550.5,12110.3,19867.1,19359.4,23081.2
300,18160.9,14567.5,12109.6,19876.7,19365.5,23078.1
320,18146.9,14565.3,12108.5,19884.2,19378.3,23079.1
340,18160,14560.7,12117.9,19882.9,19358.5,23090.3
360,18147.2,14565.3,12112.9,19867.9,19369,23088.6
380,18154.9,14564,12113.3,19848.6,19364.8,23079.9
400,18148.5,14559.8,12113.2,19848.3,19355.9,23063.5
420,18160.2,14562,12104.8,19865,19347,23047.4
440,18167.2,14550.4,12108.7,19855.7,19345.1,23073.5
460,18153.3,14555.7,12103.2,19834.6,19341.2,23079.4
480,18163.4,14569.6,12106,19838.8,19342.7,23074.5
500,18164.9,14556,12102.9,19857.7,19366.2,23067.4
520,18156.9,14534.4,12101.2,19835.3,19353.8,23069.4
540,18136.1,14539.5,12112.9,19837.1,19333.1,23067.7
560,18148.1,14550.9,12104.4,19844.2,19350.2,23057.7
580,18130.2,14548.7,12103.6,19846.7,19350.3,23061
600,18151.6,14551.3,12104.8,19858,19358.5,23074
620,18135.3,14555.6,12113,19848.3,19350.1,23050.9
640,18130.1,14561.1,12098.9,19834,19352.8,23058.8
660,18143.5,14543.6,12105.8,19840.3,19336.8,23048.4
680,18123,14546.2,12104.7,19849.1,19324.8,23030.7
700,18137.6,14535.7,12111.6,19838.7,19328.6,23037.8
720,18118.3,14540.6,12108.9,19839.5,19322.6,23053.9
740,18145.1,14547.1,12102,19830.4,19323.5,23036.4
760,18127.2,14547.7,12103.9,19824.4,19317,23051
780,18136.8,14542,12106.3,19831.6,19306.6,23038.8
800,18130.1,14544.6,12105.6,19842.2,19308.9,23042.2
820,18128.6,14543.1,12096.6,19842.2,19337.4,23051.4
840,18123.4,14539.8,12097.9,19827.2,19301.5,23053.6
860,18107.2,14530.5,12094.1,19828.6,19306.4,23041.9
880,18129.8,14539.5,12099.4,19840.1,19312,23040
900,18123.3,14533.4,12109.5,19830.7,19313.1,23045.3
920,18121.5,14529.7,12100.8,19836.3,19309.7,23038.3
940,18117.3,14524.7,12095.9,19840.8,19322.7,23034
960,18128.8,14528,12103,19828.5,19314.3,23030.7
980,18116.1,14523.1,12093.7,19834.3,19330.8,23041.3
1000,18112.9,14520.8,12090.5,19851.9,19328.1,23041.3
1020,18121.8,14523,12092.7,19841.6,19323.9,23044.2
1040,18120.5,14528.9,12088.6,19844.6,19335.3,23040.5
1060,18149.3,14524.4,12087.1,19847,19314.2,23048.4
1080,18125.3,14523.3,12096.6,19848.7,19308.9,23052.4
1100,18142.1,14520.7,12082.5,19855.1,19338,23056.7
1120,18112.9,14511.5,12083.5,19850.3,19326.9,23058.6
1140,18109.3,14521.5,12080.7,19842.3,19317.7,23049.2
1160,18121.6,14520.1,12073.7,19850.4,19320.9,23043.6
1180,18106.2,14514,12078,19840.9,19328.1,23054.1
1200,18120.8,14514.9,12073.2,19845.4,19348.4,23034.1
1220,18185.1,14582.8,12129.8,19837.4,19359.9,23098.8
1240,18322.5,14759,12270.9,19918.4,19442.3,23182.2
1260,18407.7,14836,12339,19965.7,19503.1,23219.6
1280,18461,14889.7,12388.7,19989.5,19532.8,23283.7
1300,18524.1,14938.7,12410.6,20022.7,19552.7,23299.6
1320,18542.9,14965.1,12456.6,20041.4,19572.4,23331.8
1340,18584.2,15004.1,12472,20065.9,19596.1,23340.1
1360,18603.2,15043.6,12514.2,20057.3,19608.5,23372.3
1380,18614.8,15051.9,12517.6,20079.9,19611.6,23400.9
1400,18624.7,15077.4,12536.4,20094.8,19628.6,23407.6
1420,18652.9,15098.3,12564,20098.3,19625,23404.4
1440,18651.3,15118.6,12567.6,20110.1,19636.4,23443.1
1460,18681,15137.2,12573,20126.8,19673.6,23446.1
1480,18694,15143,12588.6,20139.7,19669.8,23447.4
1500,18710.2,15154.2,12581.9,20134.8,19686.2,23462.3
1520,18729.8,15160.7,12600.4,20139.9,19701,23482.4
1540,18743.3,15181.1,12607.4,20170.4,19709.9,23480.7
1560,18737.3,15196.4,12605.4,20151.1,19713.6,23481.1
1580,18759,15189.5,12618.7,20169.5,19696.5,23494.4
1600,18757.1,15204.1,12635,20159,19705.9,23510.8
1620,18761.7,15210.8,12642.1,20186.5,19703.1,23498.1
1640,18775.6,15217.7,12632.4,20189,19728.9,23509.2
1660,18794.6,15224.6,12644.9,20200.3,19698.9,23525.8
1680,18783.4,15231.7,12657.3,20193.1,19736.1,23521
1700,18828.6,15247.5,12663.9,20190.9,19740.9,23523.2
1720,18806.3,15256.5,12666.6,20203.7,19727,23534
1740,18817.1,15263.7,12681.8,20200.7,19743.8,23550.3
1760,18815.4,15253.5,12673,20190.3,19743.4,23547.1
1780,18828,15271.1,12682.5,20201.5,19742.6,23560
1800,18837.2,15264.9,12687.8,20204.2,19739.1,23558.9
1820,18843,15286,12687.2,20217.2,19766.8,23564.6
1840,18871.3,15280.6,12692.9,20220.9,19761.3,23586.8
1860,18871.3,15292.1,12702,20216.5,19759.6,23571.2
1880,18853.4,15307.5,12703.7,20230.7,19757.6,23601.6
1900,18880.1,15297.3,12714.3,20223.5,19772,23571.2
1920,18863.7,15309.9,12704.1,20231.1,19790.7,23592.8
1940,18874.9,15302,12717.6,20245.8,19804.6,23582.7
1960,18871.2,15325.8,12719.8,20249.6,19795.7,23614
1980,18874.8,15338.1,12722.9,20265.6,19823.6,23589.8
2000,18896.5,15349.3,12725.3,20249,19835.5,23611.7
2020,18896.9,15356.9,12729.9,20261.7,19817,23594.5
2040,18899.6,15353.6,12729.9,20262.8,19832.8,23596.5
2060,18922.8,15354.9,12745.3,20253.3,19815.4,23607.2
2080,18909.3,15342.1,12749.3,20270.7,19836.9,23608.9
2100,18925.5,15367.1,12754.2,20283.1,19825.5,23613.4
2120,18949.6,15378.8,12765.8,20283.7,19842.5,23645.6
2140,18930.2,15397.1,12753.3,20283.5,19826.7,23638.7
2160,18954.4,15398,12757.8,20296.4,19830.1,23623
2180,18959.4,15411.2,12763.9,20282.3,19836.3,23639.9
2200,18974.3,15413.8,12770.2,20288.6,19846.3,23641.8
2220,18969.6,15411.8,12775.7,20299.3,19867.1,23639.5
2240,18986.6,15419.5,12772.6,20306.4,19859.2,23664.5
2260,18955.3,15430.3,12787.8,20313.2,19854.7,23635.2
2280,18964.8,15440.7,12784.5,20300.2,19856.1,23637.8
2300,18968.7,15431.5,12789.2,20298.3,19859.5,23654
2320,18969.7,15436.5,12799.6,20301.6,19877,23646.3
2340,18997.3,15449.4,12812,20326.9,19856.5,23683.3
2360,18992.3,15427.5,12801.7,20315.9,19853.2,23666.3
2380,19003.1,15442.2,12806.2,20304.1,19853.7,23675.6
2400,18986.2,15452.4,12829.6,20311.4,19884.5,23673.6
2420,18952,15360.2,12735.5,20321.5,19877.4,23688.5
2440,18791.4,15199,12613,20254.2,19804.3,23594.2
2460,18698.5,15115.9,12549.4,20213.5,19764.1,23565.4
2480,18641,15073.4,12496.3,20188.6,19724.4,23541.9
2500,18603.6,15023.8,12467.9,20182.6,19709.2,23514.1
2520,18571.8,14997.3,12441.4,20154.2,19689.2,23484.2
2540,18537.2,14969,12402.3,20152.3,19662.9,23468.8
2560,18495.4,14929.7,12391.5,20127.9,19654.9,23464.7
2580,18486.7,14913.3,12382.2,20105.1,19648.9,23433.6
2600,18478.1,14916.6,12372.5,20092.6,19632.5,23416
2620,18470.2,14896.3,12366.4,20120,19640.2,23430.2
2640,18449.5,14887.5,12344.8,20113.4,19632.7,23407.3
2660,18427.2,14877.7,12322.5,20106.7,19634.2,23408.2
2680,18424.8,14862.6,12311.3,20103.8,19629.6,23402.9
2700,18408.7,14855.5,12313.7,20095.2,19626.9,23406.3
2720,18393.7,14847.4,12312.4,20100,19602.8,23386.8
2740,18385.5,14844.3,12288.9,20099.8,19605.7,23388.2
2760,18371.7,14838.8,12289.6,20093.4,19560.9,23382.4
2780,18354.8,14827.8,12285.1,20087.2,19586,23373.5
2800,18365.4,14826.3,12267.1,20068.2,19579.8,23393.2
2820,18365.4,14815.6,12271.5,20065.4,19576.1,23375.6
2840,18352.3,14806.8,12262.1,20093,19564.7,23352.8
2860,18337.6,14802.9,12269.4,20054.1,19559.1,23349.4
2880,18341.5,14803.4,12260.1,20073.7,19564.2,23338.3
2900,18332.2,14789,12249.9,20076.6,19569.3,23357
2920,18315.8,14787.7,12252.4,20065.8,19555.9,23340.4
2940,18346.5,14771.1,12247.8,20046.5,19542.1,23335.1
2960,18319.1,14764.1,12241.7,20054.3,19540.7,23329.1
2980,18335,14771.5,12250.9,20059.2,19563.4,23336.3
3000,18323.2,14775,12236.3,20046.9,19531.5,23324.3
3020,18308.7,14757.2,12242.9,20049.4,19541.7,23310.4
3040,18311.4,14757.7,12239,20052.6,19523.9,23331.7
3060,18300.7,14749.1,12230,20049.3,19526.5,23300.7
3080,18309.7,14743.7,12228.1,20044.5,19524,23317.4
3100,18311.8,14751.6,12230.5,20047.9,19516.8,23294.1
3120,18294.2,14750.9,12232.1,20042.9,19522.9,23290.6
3140,18302,14754.1,12222.8,20032.8,19498.9,23273.8
3160,18293.1,14755.3,12214.5,20035.9,19517.3,23280.4
3180,18289.1,14748.6,12209.7,20017.7,19518.6,23264.3
3200,18291.5,14738.8,12207.9,20035.7,19525.6,23280.5
3220,18289.1,14748.6,12201.6,20032.3,19516.7,23290
3240,18290.6,14720.7,12204.9,20044,19513.1,23284.6
3260,18285.2,14725.7,12198.7,20025.9,19505.4,23301
